יום,ספר,פרק
בראשית,ישעיה,מב
נח,ישעיה,נד
לך לך,ישעיה,מ
וירא,מלכים ב,ד
חיי שרה,מלכים א,א
תולדות,מלאכי,א
ויצאס,הושע,יא
וישלח,עובדיה,א
וישב,עמוס,ב
מקץ,מלכים א,ג
ויגש,יחזקאל,לז
ויחי,מלכים א,ב
שמות,ישעיה,כז
וארא,יחזקאל,כח
בא,ירמיהו,מו
בשלח,שופטים,ה
יתרו,ישעיה,ו
משפטים,ירמיהו,לד
תרומה,מלכים א,ה
תצוה,יחזקאל,מג
כי תשא,מלכים א,יח
ויקהל,מלכים א,ז
פקודי,מלכים א,ז
ויקרא,ישעיה,מג
צו,ירמיהו,ז
שמיני,שמואל ב,ו
תזריע,מלכים ב,ד
מצורע,מלכים ב,ז
אחרי מות,עמוס,ט
קדושים,יחזקאל,כ
אמור,יחזקאל,מד
בהר,ירמיהו,לב
בחוקותי,ירמיהו,טז
במדבר,הושע,ב
נשא,שופטים,יג
בהעלתך,זכריה,ב
שלח לך,יהושע,ב
קרח,שמואל א,יא
חקת,שופטים,יא
בלק,מיכה,ה
פינחס,מלכים א,יח
מטות,ירמיהו,א
מסעי,ירמיהו,ב
דברים,ישעיה,א
ואתחנן,ישעיה,מ
עקב,ישעיה,מט
ראה,ישעיה,נד
שופטים,ישעיה,נא
כי תצא,ישעיה,נד
כי תבוא,ישעיה,ס
נצבים,ישעיה,סא
וילך,הושע,יד
האזינו,שמואל ב,כב
וזאת הברכה,יהושע,א
שבת ר"ח,ישעיה,סו
שבת ער"ח,שמואל א,כ
תענית ציבור,ישעיה,נה
א'ראש השנה,שמואל א,א
ב'ראש השנה,ירמיהו,לא
יוה"כ שחרית,ישעיה,נז
יוה"כ מנחה,יונה,א
א'דסוכות,זכריה,יד
שבת חוהמ"ס,יחזקאל,לח
שבת חנוכה,זכריה,ב
שבת חנוכה ב,מלכים א,ז
שבת שקלים,מלכים ב,יב
שבת זכור,שמואל א,טו
שבת פרה,יחזקאל,לו
שבת החודש,יחזקאל,מה
שבת הגדול,מלאכי,ג
א'דפסח,יהושע,ה
שבת חוהמ"פ,יחזקאל,לו
שביעי של פסח,שמואל ב,כב
שבועות,יחזקאל,א
ט'אב שחרית,ירמיהו,ח
ט'אב מנחה,ישעיה,נה
